철도운영기관명,선명,역명,경도,위도
코레일,경의중앙,청량리,127.045043,37.580113
코레일,경의중앙,회기,127.057989,37.589774
코레일,경의중앙,지평,127.629428,37.476297
코레일,경의중앙,임진강,126.74,37.88
